TA,"Allgemeine mathematische Grundkenntnisse und Größen"
TA1,"Allgemeine mathematische Grundkenntnisse"
TA2,"Größen und Einheiten"
TB,"Elektrizitäts-, Elektromagnetismus- und Funktheorie"
TB1,"Leiter, Halbleiter und Isolator"
TB2,"Strom- und Spannungsquellen"
TB3,"Elektrisches Feld"
TB4,"Magnetisches Feld"
TB5,"Elektromagnetisches Feld"
TB6,"Sinusförmige Signale"
TB7,"Nichtsinusförmige Signale"
TB8,"Modulierte Signale"
TB9,"Ohmsches Gesetz, Leistung und Energie"
TC,"Elektrische und elektronische Bauteile"
TC1,"Widerstand"
TC2,"Kondensator"
TC3,"Spule"
TC4,"Übertrager und Transformatoren"
TC5,"Diode"
TC6,"Transistor"
TD,"Elektronische Schaltungen und deren Merkmale"
TD1,"Serien- und Parallelschaltung von Widerständen, Spulen und Kondensatoren"
TD2,"Schwingkreise und Filter"
TD3,"Stromversorgung"
TD4,"Verstärker"
TD5,"Modulator / Demodulator"
TD6,"Oszillator"
TE,"Analoge und digitale Modulationsverfahren"
TE1,"Amplitudenmodulation AM, SSB"
TE2,"Frequenzmodulation"
TE3,"Text-, Daten- und Bildübertragung"
TF,"Funk-Empfänger"
TF1,"Einfach- und Doppelsuperhet-Empfänger"
TF2,"Blockschaltbilder"
TF3,"Betrieb und Funktionsweise einzelner Stufen"
TF4,"Empfängermerkmale"
TG,"Funksender"
TG1,"Blockschaltbilder"
TG2,"Betrieb und Funktionsweise einzelner Stufen"
TG3,"Betrieb und Funktionsweise von HF-Leistungsverstärkern"
TG4,"Betrieb und Funktionsweise von HF-Transceivern"
TG5,"Unerwünschte Aussendungen"
TH,"Antennen und Übertragungsleitungen"
TH1,"Antennen"
TH2,"Antennenmerkmale"
TH3,"Übertragungsleitungen"
TH4,"Anpassung, Transformation und Symmetrierung"
TI,"Wellenausbreitung und Ionosphäre"
TI1,"Ionosphäre"
TI2,"Kurzwellenausbreitung"
TI3,"Wellenausbreitung oberhalb 30 MHz"
TJ,"Messungen und Messinstrumente"
TJ1,"Messinstrumente"
TJ2,"Durchführung von Messungen"
TK,"Störemissionen, Störfestigkeit, Schutzanforderungen, Ursachen, Abhilfe"
TK1,"Störungen elektronischer Geräte"
TK2,"Ursachen für Störungen"
TK3,"Maßnahmen zur Störungsbeseitigung"
TL,"Elektromagnetische Verträglichkeit, Anwendung, Personen- und Sachschutz"
TL1,"Störfestigkeit"
TL2,"Schutz von Personen"
TL3,"Sicherheit"
